CAR | #20 C Sebastian Aho 8478427 FIN https://assets.nhle.com/mugs/nhl/20242025/CAR/8478427.png
CAR | #53 R Jackson Blake 8482809 USA https://assets.nhle.com/mugs/nhl/20242025/CAR/8482809.png
CAR | #28 L William Carrier 8477478 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8477478.png
CAR | #71 L Taylor Hall 8475791 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8475791.png
CAR | #54 L Juha Jaaska 8484929 FIN https://assets.nhle.com/mugs/nhl/20242025/CAR/8484929.png
CAR | #24 C Seth Jarvis 8482093 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8482093.png
CAR | #27 C Tyson Jost 8479370 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8479370.png
CAR | #82 C Jesperi Kotkaniemi 8480829 FIN https://assets.nhle.com/mugs/nhl/20242025/CAR/8480829.png
CAR | #48 L Jordan Martinook 8476921 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8476921.png
CAR | #96 R Mikko Rantanen 8478420 FIN https://assets.nhle.com/mugs/nhl/20242025/CAR/8478420.png
CAR | #50 L Eric Robinson 8480762 USA https://assets.nhle.com/mugs/nhl/20242025/CAR/8480762.png
CAR | #98 C Jack Roslovic 8478458 USA https://assets.nhle.com/mugs/nhl/20242025/CAR/8478458.png
CAR | #11 C Jordan Staal 8473533 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8473533.png
CAR | #16 C Ryan Suzuki 8481576 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8481576.png
CAR | #37 R Andrei Svechnikov 8480830 RUS https://assets.nhle.com/mugs/nhl/20242025/CAR/8480830.png
CAR | #8 D Brent Burns 8470613 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8470613.png
CAR | #5 D Jalen Chatfield 8478970 USA https://assets.nhle.com/mugs/nhl/20242025/CAR/8478970.png
CAR | #4 D Shayne Gostisbehere 8476906 USA https://assets.nhle.com/mugs/nhl/20242025/CAR/8476906.png
CAR | #7 D Dmitry Orlov 8475200 RUS https://assets.nhle.com/mugs/nhl/20242025/CAR/8475200.png
CAR | #74 D Jaccob Slavin 8476958 USA https://assets.nhle.com/mugs/nhl/20242025/CAR/8476958.png
CAR | #61 D Riley Stillman 8479388 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8479388.png
CAR | #26 D Sean Walker 8480336 CAN https://assets.nhle.com/mugs/nhl/20242025/CAR/8480336.png
CAR | #31 G Frederik Andersen 8475883 DNK https://assets.nhle.com/mugs/nhl/20242025/CAR/8475883.png
CAR | #52 G Pyotr Kochetkov 8481611 RUS https://assets.nhle.com/mugs/nhl/20242025/CAR/8481611.png
DAL | #14 L Jamie Benn 8473994 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8473994.png
DAL | #15 C Colin Blackwell 8476278 USA https://assets.nhle.com/mugs/nhl/20242025/DAL/8476278.png
DAL | #22 C Mavrik Bourque 8482145 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8482145.png
DAL | #10 C Oskar Bäck 8480840 SWE https://assets.nhle.com/mugs/nhl/20242025/DAL/8480840.png
DAL | #63 R Evgenii Dadonov 8474149 RUS https://assets.nhle.com/mugs/nhl/20242025/DAL/8474149.png
DAL | #95 C Matt Duchene 8475168 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8475168.png
DAL | #64 C Mikael Granlund 8475798 FIN https://assets.nhle.com/mugs/nhl/20242025/DAL/8475798.png
DAL | #24 C Roope Hintz 8478449 FIN https://assets.nhle.com/mugs/nhl/20242025/DAL/8478449.png
DAL | #53 C Wyatt Johnston 8482740 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8482740.png
DAL | #27 L Mason Marchment 8478975 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8478975.png
DAL | #40 R Kyle McDonald 8483799 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8483799.png
DAL | #21 L Jason Robertson 8480027 USA https://assets.nhle.com/mugs/nhl/20242025/DAL/8480027.png
DAL | #91 C Tyler Seguin 8475794 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8475794.png
DAL | #11 C Logan Stankoven 8482702 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8482702.png
DAL | #18 C Sam Steel 8479351 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8479351.png
DAL | #6 D Lian Bichsel 8483425 CHE https://assets.nhle.com/mugs/nhl/20242025/DAL/8483425.png
DAL | #44 D Cody Ceci 8476879 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8476879.png
DAL | #3 D Mathew Dumba 8476856 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8476856.png
DAL | #55 D Thomas Harley 8481581 USA https://assets.nhle.com/mugs/nhl/20242025/DAL/8481581.png
DAL | #4 D Miro Heiskanen 8480036 FIN https://assets.nhle.com/mugs/nhl/20242025/DAL/8480036.png
DAL | #38 D Christian Kyrou 8483470 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8483470.png
DAL | #23 D Esa Lindell 8476902 FIN https://assets.nhle.com/mugs/nhl/20242025/DAL/8476902.png
DAL | #5 D Nils Lundkvist 8480878 SWE https://assets.nhle.com/mugs/nhl/20242025/DAL/8480878.png
DAL | #46 D Ilya Lyubushkin 8480950 RUS https://assets.nhle.com/mugs/nhl/20242025/DAL/8480950.png
DAL | #2 D Brendan Smith 8474090 CAN https://assets.nhle.com/mugs/nhl/20242025/DAL/8474090.png
DAL | #1 G Casey DeSmith 8479193 USA https://assets.nhle.com/mugs/nhl/20242025/DAL/8479193.png
DAL | #29 G Jake Oettinger 8479979 USA https://assets.nhle.com/mugs/nhl/20242025/DAL/8479979.png
TOR | #24 C Connor Dewar 8480980 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8480980.png
TOR | #11 C Max Domi 8477503 CAN https://assets.nhle.com/mugs/nhl/20242025/TOR/8477503.png
TOR | #29 R Pontus Holmberg 8480995 SWE https://assets.nhle.com/mugs/nhl/20242025/TOR/8480995.png
TOR | #19 C Calle Jarnkrok 8475714 SWE https://assets.nhle.com/mugs/nhl/20242025/TOR/8475714.png
